@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data

8,8,4,0.0,0.0,0.00010135254260673564,5.914127014680603e-05,0.2665191779726524,0.26583187111182005,5,5,0.0025022498076544566,0.0022896683204650997,0,False
10,4,4,0.0,0.0,0.00012100852101111354,1.000583570955587e-05,0.26976204607996546,0.24052246704512653,6,5,0.0027900815849993326,0.0006830466463903658,0,False
9,4,4,0.0,0.0,8.808700967613478e-05,7.385304584138356e-06,0.2526595072646873,0.23050323889439592,6,5,0.0011282050095959236,0.00034499623250254866,0,False
15,7,3,0.0,0.0,0.0002463972319611472,0.00021222081872667115,0.3022124161276673,0.2746600741656366,5,5,0.012766473958426295,0.0035166831518791022,0,False
6,5,4,0.1,0.0,4.140256914607459e-05,2.332802051102938e-05,0.27034553614881307,0.26725289998396323,5,5,0.0032946072910801064,0.003029987991692417,0,False
6,5,4,0.0,0.0,9.89261578643322e-05,4.038380186129457e-05,0.28902185223725285,0.26945672092271206,5,5,0.006632307510042487,0.002876537372146863,0,False
16,13,2,0.0,0.0,0.00040108918621119114,0.00030411311531023505,0.3001621037463977,0.27433604038630377,5,5,0.010813668017834734,0.00339725845969871,1,False
13,5,4,0.0,0.0,0.00016068754066414362,5.598149792394752e-05,0.28263327491661483,0.2744263914809529,5,5,0.0061197245851846915,0.004193114748092791,0,False
7,4,5,0.0,0.0,3.2253814155759145e-05,6.895026936416619e-06,0.25952553986710963,0.23490027486080767,6,5,0.001790415714237655,0.0004514112116427174,0,False
6,6,3,0.0,0.0,8.45542996989562e-05,5.356341946738078e-05,0.2826652343529146,0.26002496489311905,5,5,0.005947164473349147,0.0016227281591895634,0,False
14,8,4,0.0,0.0,0.0003960309426974837,4.4424526624201184e-05,0.2934237168764856,0.24788041053101295,5,5,0.00931277473938574,0.0010814104502411823,0,False
16,7,3,0.0,0.0,0.0003140674544163426,0.0001133130561296869,0.2831695505649798,0.2749773121029618,5,5,0.005898435996091287,0.003634730601560073,0,False
11,5,4,0.0,0.0,0.00014144937792985007,1.9054746051154127e-05,0.27189666893269887,0.2556700503720371,5,5,0.003565384865748726,0.002012528647872629,0,False
28,7,3,0.013227513227513227,0.0,0.0013974398950403286,6.217359193110612e-05,0.31970200792940273,0.27335356352005247,5,5,0.027786391882680356,0.003940523100275226,0,False
9,6,4,0.0,0.0,9.858479409698247e-05,3.181270025780136e-05,0.2612751502482362,0.2590079005310193,5,5,0.002385178315869392,0.001941743792457524,0,False
12,9,3,0.0,0.0,0.00021854614548812726,0.0001259068520125774,0.2777885817474649,0.27423070594043114,5,5,0.004917448161422412,0.0033544512113033616,0,False
12,7,4,0.0,0.0,0.0001225461708436137,0.00010828868390406934,0.26395121693680373,0.26277199621570485,5,5,0.00270614947199031,0.002042167088096535,0,False
15,8,3,0.009523809523809525,0.0,0.0003821317151812971,4.847875471830811e-05,0.301274518665823,0.26495137656005724,5,5,0.012286735190704393,0.002329043350828905,0,False
5,5,4,0.0,0.0,2.4414215716518853e-05,2.3496448133615333e-05,0.2608593566564921,0.24901008591707136,5,5,0.001825714412608115,0.0009312987302617634,0,False
22,5,4,0.0,0.0,0.0006707257705037451,2.8404325714862963e-05,0.2930796963390685,0.2611659614480489,5,5,0.00905199325014032,0.0017941259936440214,0,False
6,6,5,0.0,0.0,2.5842369444701696e-05,2.4755122256315568e-05,0.252985527780589,0.25096631695196026,5,5,0.001273363037686531,0.0010651329748914027,0,False
7,5,4,0.0,0.0,3.238789659539553e-05,1.9538903111591466e-05,0.2635407606547007,0.2388847743507657,6,5,0.0022320644501360185,0.00057148399433672,0,False
6,5,4,0.1,0.0,4.871299930164014e-05,3.667936135729131e-05,0.2865782006821243,0.263429670416524,5,5,0.007841005396823163,0.0029271591762377366,0,False
7,5,4,0.047619047619047616,0.0,8.692507664452223e-05,3.8607635343283516e-05,0.29297664742594276,0.25491395793499044,5,5,0.010703976918052025,0.0011696520485525148,0,False
15,5,3,0.0,0.0,0.0002440306398642643,6.690312933030611e-05,0.2851886711730983,0.2736228552663985,5,5,0.006032825672519626,0.004618472940917001,0,False
14,6,4,0.0,0.0,0.0003136844191623864,7.009862551482953e-05,0.2821308653819023,0.25757341576506954,5,5,0.005403195560497711,0.0019389460150686902,0,False
7,4,4,0.047619047619047616,0.0,0.0001176063561055901,1.1343322652648575e-05,0.28707186127300394,0.23805442468395116,6,5,0.0076286710897108196,0.0005074966502240057,0,False
37,6,3,0.006006006006006006,0.0,0.001899088780918534,8.524499091407004e-05,0.3213459313536444,0.28386895298660003,5,5,0.02130923446496363,0.007119893445590687,0,False
5,4,5,0.0,0.0,2.033682516516888e-05,9.109169426085109e-06,0.2562532034853921,0.2422766591553391,5,5,0.0014012707126991784,0.0006777976545393125,0,False
12,9,4,0.015151515151515152,0.0,0.00022509214233508649,0.0001914179650438132,0.2928479381443299,0.2783221065523576,5,5,0.009182223309569084,0.005173590819455559,0,False
6,5,4,0.0,0.0,2.8300447465761964e-05,2.6026924702347464e-05,0.26811283316351153,0.2571891558207727,6,5,0.002742168280625065,0.0022793411709849365,0,False
7,6,4,0.0,0.0,8.604114189202494e-05,4.4281412448274744e-05,0.2791223515618457,0.26427910664728427,5,5,0.00503610366971214,0.0025462549746343563,0,False
12,5,4,0.0,0.0,0.0003933253636967528,1.5715669166578717e-05,0.3023494904901575,0.2537752848912464,5,5,0.015508776844999168,0.001370779313627512,0,False
7,4,4,0.0,0.0,8.95021695762875e-05,2.3569964338940665e-05,0.270308994079641,0.24953830796106813,5,5,0.0030799349132466765,0.000960122645043522,0,False
12,6,3,0.06060606060606061,0.0,0.0003994500881517099,2.878779588372618e-05,0.3182975743299166,0.25974801922327573,5,5,0.024742564763723475,0.002011696682681357,0,False
15,6,4,0.0,0.0,0.00036742351152409144,1.9343200065859906e-05,0.27265290540724785,0.25421401876287086,5,5,0.003752359854616178,0.0012493979683242083,0,False
