@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data

10,9,6,0.4722222222222222,0.4666666666666667,0.0004925481502928835,0.0001690579347777228,0.15542084401958497,0.1548048489727671,9,9,0.008735857851738674,0.008306133209351895,0,False
9,8,3,0.3611111111111111,0.35714285714285715,0.0010692579921774724,0.000563067010704398,0.16705650416012296,0.16519627279936558,9,9,0.010119787196112623,0.005774786532970068,0,False
10,6,5,0.5333333333333333,0.4,0.0005136423937916259,9.081904167822854e-05,0.16207410769280642,0.15177134877508272,9,9,0.007543825585737002,0.0068228022410744636,0,False
11,9,4,0.4166666666666667,0.34545454545454546,0.001247068264019082,0.000542894978245235,0.16956654456654457,0.16132623426911907,9,8,0.010316602623063548,0.00991362269397563,0,False
10,9,7,0.4222222222222222,0.2222222222222222,0.0008448184909764604,0.0005156514346248632,0.163719422340112,0.1573258228963434,9,9,0.010687159337478616,0.00725109709965717,0,False
9,8,6,0.2777777777777778,0.14285714285714285,0.001253654519065345,0.0010336891588304201,0.16745097382479526,0.16641424648414746,9,8,0.008846299280363335,0.0062933901073021,0,False
9,8,6,0.5555555555555556,0.4642857142857143,0.0005319709477093395,0.00012165835040888148,0.15610022636796503,0.15207373271889402,9,9,0.009864067160329316,0.005369095526254275,0,False
9,9,7,0.6111111111111112,0.4444444444444444,0.0005808829052434673,0.00012694594913610326,0.15800202262815247,0.15214546561168593,9,8,0.007817878381955676,0.007238903483481479,0,False
12,9,6,0.6111111111111112,0.42424242424242425,0.0009090650243294316,7.633204110919928e-05,0.16104820654887497,0.15355908776779545,9,9,0.015220678749843937,0.00948546231711668,0,False
11,10,6,0.5111111111111111,0.45454545454545453,0.0006074536830847264,0.0005776208427623083,0.16307060032291207,0.15947622769103176,9,9,0.01639269689250795,0.008483309740471005,0,False
10,10,6,0.5555555555555556,0.4,0.000588879590196633,0.00020088806382887587,0.16284485847366537,0.15665784072571168,9,9,0.009677830570515232,0.00814773846380832,0,False
12,9,7,0.4166666666666667,0.22727272727272727,0.002589172056601816,0.0005709385638916839,0.17753591022886667,0.16477974983932367,8,8,0.013622059627726946,0.009742320048225667,0,False
10,9,6,0.4444444444444444,0.4166666666666667,0.0005849825247431667,0.00046026556692853907,0.16431940313224105,0.1569085916045508,9,9,0.008626238264696473,0.007037715666870627,0,False
10,9,5,0.4444444444444444,0.37777777777777777,0.0008268629608410703,0.0005731236162709377,0.1672493100275989,0.16276003515968357,9,9,0.010375956908695088,0.006458961991204438,0,False
10,7,6,0.47619047619047616,0.3333333333333333,0.0008467081271594235,7.498509445715254e-05,0.1628846498444296,0.1484323971260614,9,9,0.0079458403896895,0.006546092714940945,0,False
11,10,5,0.4222222222222222,0.32727272727272727,0.0014736622937976524,0.000720577130111952,0.17163897280966767,0.1586085466831636,9,8,0.011000927019950637,0.00945182841332784,0,False
