@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data

31,2,4,0.11827956989247312,0.0,0.002614399667452052,1.0881211788432515e-06,0.1411076348952417,0.11753815029178592,14,13,2.4446285264165835e-17,-3.581316116965753e-19,0,False
19,1,7,0.14035087719298245,0.0,0.0008912979066982027,0.0,0.11138055071100532,0.10576366505754081,15,14,-6.746616647062053e-20,-2.541966221215356e-19,0,False
3,2,8,1.0,1.0,0.0,0.0,0.10164755183078462,0.0970795666385224,16,15,-1.222660974263783e-19,-2.7012002140010537e-19,0,False
4,3,52146,1.0,1.0,0.0,0.0,7.67091763352191e-05,6.849033601358848e-05,2,1,9.056160253684874e-19,2.401872566888329e-19,0,False
5,1,52146,1.0,0.0,0.0,0.0,0.11736542161450893,1.9177294083804776e-05,14,1,8.340426611832669e-19,3.9037255289154766e-20,0,False
3,3,10,1.0,1.0,0.0,0.0,0.08853302847529348,0.0829832079119981,18,16,5.727703648943527e-19,-7.020574996731607e-19,0,False
6,2,6,1.0,0.6,1.630220514867979e-05,0.0,0.11546067488225888,0.11262101157934193,15,14,8.733967453001633e-19,8.468809779040729e-19,0,False
11,1,5,0.10909090909090909,0.0,0.0006427214865548967,0.0,0.13412630909755338,0.11323353252655001,15,13,2.1641642325349187e-17,5.659253083830098e-19,0,False
9,5,5,1.0,0.2222222222222222,0.00020810065933851097,0.0,0.11781688436539751,0.11065499181215455,14,14,-5.225678026550603e-19,-6.484467929836037e-19,0,False
1,1,9,0.0,0.0,0.0,0.0,0.09672935676870491,0.09424722852972442,16,15,1.6211316491133117e-20,-2.7242986127558347e-20,0,False
5,3,52146,1.0,1.0,0.0,0.0,0.10025628961841945,7.228364693126416e-05,16,3,9.431479571385951e-20,-4.876279863674706e-19,0,False
3,3,6,1.0,1.0,0.0,0.0,0.13512984670541964,0.1133186159656934,14,12,4.2997164522451984e-17,2.806548215990545e-19,0,False
29,2,5,0.09852216748768473,0.0,0.001071393595720784,3.0804190002385645e-08,0.13856853461993973,0.10446026383175601,15,13,2.990973351607589e-17,1.2712137550702696e-19,0,False
3,2,52146,1.0,1.0,0.0,0.0,0.09750938870194975,3.835458816760955e-05,15,1,1.2073425258800433e-19,-9.015138341950576e-19,0,False
7,1,52146,0.42857142857142855,0.0,5.296510411971793e-05,0.0,0.11995610344632017,2.5569725445073034e-05,14,2,3.3225309545841115e-18,6.884810645746225e-19,0,False
2,1,8,1.0,0.0,0.0,0.0,0.09495935364437144,0.08917397714842062,17,15,-3.606318446313462e-19,-7.849769538220203e-19,0,False
1,1,52146,0.0,0.0,0.0,0.0,0.10183360273337363,1.9177294083804776e-05,15,1,-1.140136644356583e-19,-4.881061354574749e-19,0,False
3,2,52146,1.0,0.3333333333333333,1.4711026452749905e-09,0.0,5.753188225141433e-05,3.835458816760955e-05,1,1,6.479290118420053e-20,-2.0745877779117306e-19,0,False
14,1,6,0.26373626373626374,0.0,0.0006209694623279579,0.0,0.12563972180749772,0.11545214992501374,15,13,3.2155672700686918e-18,-1.0916583973889007e-19,0,False
2,1,52146,1.0,0.0,0.0,0.0,0.09716624453953761,1.9177294083804776e-05,15,1,6.855760295799834e-19,7.675890631476542e-20,0,False
1,1,52146,0.0,0.0,0.0,0.0,0.10833211093927919,1.9177294083804776e-05,14,1,-1.6646982546522597e-19,-2.01574072042473e-19,0,False
6,3,5,1.0,0.3333333333333333,0.00029152743539125574,0.0,0.13485873072715437,0.10837399903937245,15,13,1.7497417424298914e-17,-5.446773694926641e-19,0,False
2,2,52146,1.0,0.0,7.355513226374953e-10,0.0,0.10002507590903556,3.835458816760955e-05,15,1,-2.8086908921305727e-19,-4.073089515093798e-19,0,False
4,3,52146,1.0,1.0,0.0,0.0,0.11014955489803745,6.136734106817529e-05,14,2,2.8319234305950885e-19,2.62639160280531e-19,0,False
13,8,7,0.25,0.1794871794871795,0.0009234922189431347,0.00024101069444239063,0.11850299191351517,0.11731166377097128,14,14,9.842509248291677e-19,-3.3577285268293267e-19,0,False
3,2,52146,1.0,1.0,0.0,0.0,8.5426128191494e-05,3.835458816760955e-05,2,1,2.126870623779329e-20,-4.503880863369563e-19,0,False
13,10,5,0.9777777777777777,0.9358974358974359,2.969592668648436e-07,8.172792473749946e-11,0.12797498232474225,0.1263417778920684,13,13,3.603743854561294e-17,1.483943302747099e-18,0,False
6,1,7,0.8,0.0,3.848861980372198e-05,0.0,0.11103297429376273,0.10967664423389185,15,14,3.5313963277591864e-19,5.832518995730665e-20,0,False
5,1,52146,1.0,0.0,0.0,0.0,0.096608887396646,1.9177294083804776e-05,15,1,6.098681441069179e-19,-8.490228809013091e-20,0,False
2,1,52146,1.0,0.0,0.0,0.0,0.10732633986710871,1.9177294083804776e-05,15,1,8.295439840156883e-19,4.717853208329733e-20,0,False
5,1,52146,1.0,0.0,0.0,0.0,0.096608887396646,1.9177294083804776e-05,15,1,7.710087123946108e-19,-2.8511625945105905e-19,0,False
5,1,8,1.0,0.0,0.0,0.0,0.10679509583869315,0.086005732133273,17,15,-1.8196539010206837e-19,-8.581009027615246e-19,0,False
1,1,9,0.0,0.0,0.0,0.0,0.10146356556500119,0.08636600928686461,16,16,4.678742950857931e-19,-4.273682430802517e-19,0,False
6,2,5,1.0,0.8666666666666667,1.582314709804638e-07,0.0,0.12282246175613627,0.11503774528248106,15,13,6.18411049451006e-18,-8.139672861480964e-19,0,False
4,2,8,1.0,0.8333333333333334,2.451837742124984e-10,0.0,0.10637295816515595,0.10636115282626003,15,15,4.710657977066549e-19,-4.539318266956471e-19,0,False
4,1,52146,1.0,0.0,0.0,0.0,0.11402404126810957,7.67091763352191e-05,14,1,3.599357404090135e-19,3.4621275940588697e-19,0,False
4,2,52146,1.0,0.8333333333333334,2.451837742124984e-10,0.0,0.11314986954535211,7.67091763352191e-05,14,1,2.9123187709433407e-18,2.50666243078794e-20,0,False
4,2,9,1.0,0.5,1.1033269839562429e-09,0.0,0.08781159474558738,0.08517137134886435,17,16,1.504575907265483e-19,-4.105633908632454e-19,0,False
8,4,6,0.9285714285714286,0.3333333333333333,5.789965791273308e-05,4.877721229802423e-08,0.13042102255793978,0.1010831371754688,15,13,2.190615193123948e-17,-1.0963553509504677e-18,0,False
4,2,4,1.0,0.6666666666666666,2.60751358313806e-06,0.0,0.11194501816783874,0.10845153789334155,14,14,5.392577482415391e-19,-8.674788128474184e-19,0,False
4,1,52146,0.8333333333333334,0.0,2.451837742124984e-10,0.0,0.0766113407186068,7.67091763352191e-05,17,1,1.94003905634948e-19,-1.54270059585848e-19,0,False
3,2,52146,1.0,1.0,0.0,0.0,5.753188225141433e-05,3.835458816760955e-05,1,1,5.375511473694025e-19,-8.833317511586939e-20,0,False
11,6,5,0.8666666666666667,0.21818181818181817,0.0003928385077638827,4.075550176034349e-06,0.12567426712402416,0.12416580195363291,14,14,1.0017613157489209e-17,1.7978673783335504e-18,0,False
5,3,52146,1.0,0.9,1.8388783065937382e-10,0.0,0.10303149970228906,9.588647041902388e-05,15,1,3.563264133691422e-19,-3.578395768924044e-19,0,False
7,7,9,1.0,1.0,0.0,0.0,0.0976577896952014,0.0834751709607866,17,15,5.522356141960581e-19,-1.6816395488081209e-18,0,False
4,3,52146,1.0,1.0,0.0,0.0,0.1163204864949711,7.990539201585324e-05,14,2,2.8438599340459864e-19,-1.2225135052057762e-19,0,False
4,1,52146,1.0,0.0,0.0,0.0,0.10607065544891718,7.080847046327918e-05,15,5,2.3575740355055657e-19,-1.0231693567472745e-19,0,False
19,13,6,0.8846153846153846,0.1695906432748538,0.0006630661690871841,5.094353163507664e-10,0.11489893761371517,0.08970304377008925,16,14,8.759986319138866e-19,-1.1387114126705763e-18,0,False
3,1,8,1.0,0.0,0.0,0.0,0.11356682057549955,0.0846954749578187,16,14,1.2172657240980253e-18,7.295884057921267e-19,0,False
9,3,12,1.0,1.0,0.0,0.0,0.10540494318728158,0.06867425019509996,19,15,1.0347112344076077e-18,-4.1023428702498044e-19,0,False
8,1,52146,1.0,0.0,0.0,0.0,0.00015981078403170648,1.9177294083804776e-05,2,1,2.2011503357585484e-18,2.734789435256763e-19,0,False
10,5,4,0.7,0.4666666666666667,0.0003087679982423637,1.0215983667099277e-05,0.131780490830052,0.11647781993222785,14,13,2.484517781732838e-17,8.086282163529287e-19,0,False
9,1,52146,0.4722222222222222,0.0,0.00042407561416228125,0.0,0.12308298607854684,1.9177294083804776e-05,13,1,2.762387093623882e-18,-1.333513694635644e-19,0,False
6,1,7,0.9333333333333333,0.0,5.807002949298768e-08,0.0,0.12212221448981643,0.1027819899211346,15,14,2.7258283483113314e-18,6.699652421423392e-19,0,False
1,1,52146,0.0,0.0,0.0,0.0,2.5569725445073034e-05,1.9177294083804776e-05,2,1,2.2150906671067536e-19,5.0842005307877777e-20,0,False
28,4,52146,1.0,0.3253968253968254,0.00013136088399400795,0.0,0.127597387450786,7.990539201585324e-05,13,2,2.8303164433777116e-17,-9.649103228325227e-19,0,False
2,1,52146,1.0,0.0,0.0,0.0,0.07919193969680553,7.228364693126416e-05,18,3,2.4679912882755774e-19,-3.822839772091438e-19,0,False
9,5,52146,1.0,0.9444444444444444,1.8914176867821313e-09,0.0,0.00031322913670214466,9.588647041902388e-05,4,1,-5.1124262374265064e-20,-5.847261776794847e-19,0,False
2,2,9,1.0,0.0,1.447491447818327e-05,0.0,0.08896649147652455,0.08141971826594928,17,16,2.0301794804758975e-19,-1.4807106423212407e-19,0,False
5,2,7,1.0,1.0,0.0,0.0,0.10593601010042311,0.09284787299489834,16,15,-4.564159190165833e-19,-1.4502203860295657e-18,0,False
6,2,52146,1.0,1.0,0.0,0.0,0.10678857013282615,0.0001450282865087736,14,2,9.591024756672253e-19,5.112732465309271e-19,0,False
6,2,52146,1.0,0.7333333333333333,1.4711026452749905e-09,0.0,0.00011506376450282866,3.835458816760955e-05,1,1,-2.8505999586360476e-20,-2.9492128304177855e-19,0,False
7,3,6,1.0,0.47619047619047616,5.306733090675118e-05,0.0,0.1287676048623395,0.10225594955859586,14,13,1.0580600519436844e-17,2.856780061513824e-19,0,False
8,1,52146,0.25,0.0,0.00011112113789425737,0.0,0.12754206274857713,1.9177294083804776e-05,13,1,1.008198857086193e-17,-7.528524711265144e-19,0,False
4,1,52146,1.0,0.0,0.0,0.0,0.11447790021174833,1.9177294083804776e-05,14,1,1.081010374762142e-18,7.757349529341526e-20,0,False
7,3,52146,1.0,0.9523809523809523,3.282961369354788e-07,0.0,0.12090165828356499,5.753188225141433e-05,13,1,7.746265113220348e-18,-6.86731381986476e-20,0,False
2,1,6,1.0,0.0,0.0,0.0,0.12362279453512351,0.11713498121975413,14,14,3.133678886934527e-18,1.3807297349488054e-21,0,False
41,1,52146,0.9463414634146341,0.0,8.591273280300875e-10,0.0,0.0007879737057990007,6.264582734042893e-05,3,2,0.15210000886843963,7.356405628388803e-19,0,False
7,3,9,1.0,0.23809523809523808,9.873276826742468e-05,0.0,0.10149753545846464,0.08853302847529348,16,15,-3.1049633874566773e-19,-7.303304249502759e-19,0,False
3,1,52146,1.0,0.0,0.0,0.0,0.1023380194780512,5.753188225141433e-05,15,1,5.73292755060655e-19,4.071350352270819e-20,0,False
3,1,52146,1.0,0.0,0.0,0.0,0.09480451115475101,8.5426128191494e-05,16,2,-6.511964467330503e-21,-4.0084059704975705e-19,0,False
