@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data

30,5,3,0.4,0.03908045977011494,0.000172716889972826,2.1573483977542098e-06,0.25250915912511146,0.1958644852963763,9,8,0.003118674854673702,5.2324331191884704e-05,0,False
3,1,5,0.0,0.0,4.495338940993258e-06,0.0,0.19937565069932692,0.18921552243136835,9,9,4.3914411395151574e-05,4.0255999290055156e-05,0,False
7,4,4,0.23809523809523808,0.0,2.233229542289559e-05,2.569987727614821e-06,0.22750284171939228,0.22410209404275935,9,9,0.0005840333812132946,0.0005622570979149,0,False
9,2,5,0.027777777777777776,0.0,3.912394524132615e-05,3.5237910934248536e-07,0.25117940143919026,0.19243820494246439,10,8,0.00361196399365806,4.458180242189335e-05,0,False
7,4,5,0.0,0.0,7.439855281672327e-05,3.5178357851177084e-05,0.2172513910273826,0.19154896264327398,9,9,0.0004683376562284323,2.3286316981142815e-05,0,False
2,1,8,0.0,0.0,7.183620925981608e-05,0.0,0.15975745887713125,0.1596584639327761,11,10,1.121725032642834e-06,6.754249772654651e-07,0,False
5,4,5,0.16666666666666666,0.0,1.3669673296151912e-05,6.808615223178669e-07,0.2355721551476531,0.22174045757783412,9,9,0.00086814566957592,0.0008258582327388624,0,False
13,9,4,0.05555555555555555,0.038461538461538464,7.638212099577633e-05,4.5034867352863004e-05,0.23956847041123122,0.2379158702242604,9,8,0.002676627209941254,0.0009013663373922489,0,False
7,4,4,0.3333333333333333,0.09523809523809523,1.053368257770641e-05,8.759762608284056e-07,0.23884128479649636,0.2203368722339991,9,9,0.0011694985645611879,0.0002635140098921994,0,False
47,10,4,0.08888888888888889,0.02682701202590194,0.0004943877414417186,8.051495574876352e-05,0.2640739218113009,0.242598155399493,8,8,0.012968499820852328,0.0016213410890163673,0,False
4,2,4,1.0,0.3333333333333333,9.197402230102057e-05,0.0,0.26488037223671584,0.1725193045149044,10,8,0.01375441395147759,3.327489894163496e-05,0,False
2,1,6,0.0,0.0,1.687838412798882e-07,0.0,0.22008039838029123,0.17038744811777903,10,9,0.00043300362098784,1.8590165587345136e-06,0,False
4,3,4,0.0,0.0,2.5171275700313748e-05,6.290213674911933e-06,0.22631171710784292,0.21669608156812728,9,9,0.0006026482263551673,0.00036564151361599565,0,False
4,3,4,0.3333333333333333,0.0,0.0001439995751207251,1.2920786801493846e-05,0.2648323267018267,0.22315635500498837,9,8,0.013394147706800849,0.00059543485794527,0,False
2,1,27312,0.0,0.0,2.755440267429743e-06,0.0,0.22732966665152177,3.66152832192157e-05,9,1,0.0011768012552198775,1.5372961920117167e-18,0,False
116,1,4,0.016791604197901048,0.0,0.005311742542990489,0.0,0.3029743123085722,0.18832470403352522,10,8,0.03657433036235098,1.9258291417892223e-05,0,False
30,2,3,0.016091954022988506,0.0,0.00026427045552356336,3.1023462499694234e-05,0.26496048687928453,0.2563140106948181,8,8,0.013396032201184394,0.004609136003313525,0,False
38,1,5,0.044096728307254626,0.0,0.0004367672209159172,0.0,0.2769179787427688,0.1545289953759458,11,8,0.011132773739049888,2.402308014456001e-07,0,False
10,4,4,0.3333333333333333,0.06666666666666667,0.00021549253904277192,8.719808186572705e-05,0.24815308644064055,0.2203368722339991,9,9,0.0022612137182914,0.0003216108083435613,0,False
3,2,5,0.3333333333333333,0.0,6.512825178536344e-05,3.198375174833988e-05,0.2268273803766731,0.20865475310496273,9,9,0.0012303380960555286,0.0003253972869914046,0,False
3,1,5,0.0,0.0,3.511482235540569e-06,0.0,0.23116688456637882,0.1729734939223257,10,9,0.0006678452653405652,8.332419173099957e-06,0,False
10,4,4,0.06666666666666667,0.0,7.779228144520655e-05,7.295136550997327e-05,0.24597220995444313,0.20944962202000764,9,8,0.001781821631195986,0.00010907655191712527,0,False
2,1,7,0.0,0.0,6.274603311407287e-07,0.0,0.20574066270477442,0.162035740188064,11,9,0.00013530839023579493,8.376121209550618e-07,0,False
3,1,27312,0.0,0.0,0.00014366973706351943,0.0,0.16617705199230148,4.882037762562093e-05,11,2,1.6427984392316202e-06,5.613314992994519e-19,0,False
5,1,6,0.1,0.0,5.6834743351347575e-06,0.0,0.22070694995282406,0.17387297897838225,10,9,0.0002672241707087113,3.0109159019049457e-06,0,False
4,1,5,0.16666666666666666,0.0,1.087087784647441e-06,0.0,0.2269017981660477,0.1769066679181362,10,8,0.0008885442619162836,9.95676319441981e-06,0,False
4,1,27312,0.3333333333333333,0.0,6.776130523659801e-06,0.0,0.2337867238296162,7.32305664384314e-05,8,3,0.000763484263478992,6.46301659531679e-19,0,False
7,5,4,0.0,0.0,9.837941899696723e-06,4.718316873027529e-06,0.24366430340712683,0.22374531345050166,9,9,0.0017131818806900311,0.0007694122869136609,0,False
6,4,4,0.16666666666666666,0.13333333333333333,3.910588062693188e-05,1.06845345084451e-05,0.22479023523972935,0.22406961243238901,9,8,0.0004326053180017655,0.00041350357795070836,0,False
121,3,4,0.017630853994490357,0.0,0.004852219421094657,5.265720112903191e-06,0.2981654690452052,0.19945433329727752,9,8,0.031161924750792838,5.5584850544055313e-05,0,False
9,8,4,0.05555555555555555,0.03571428571428571,0.0002807578857438618,2.574621686198666e-05,0.2537893347681642,0.21553205209810533,9,8,0.0024889881931867103,0.0003681905755931605,0,False
4,2,5,1.0,0.5,1.1184458612055465e-06,0.0,0.2332948733041205,0.17779950729698857,10,8,0.001693575752098354,4.949535766384234e-06,0,False
9,6,3,0.13333333333333333,0.05555555555555555,0.00011629077585995731,5.162846642191154e-05,0.2538604276511227,0.23398029551537536,9,8,0.0025409119689390803,0.0007534514873800786,0,False
54,18,3,0.03424178895877009,0.032679738562091505,0.0006699426933948992,0.000114356723622378,0.26693312449933954,0.25187993724860763,8,8,0.01705925934913049,0.004627716284787192,0,False
7,4,5,0.09523809523809523,0.0,9.256358663041868e-05,3.3358175319452672e-06,0.23501181075028146,0.19215117694105865,9,9,0.0028211031132046047,2.5673440312432978e-05,0,False
10,4,4,0.5,0.06666666666666667,7.248540080628246e-06,6.797619011653087e-07,0.23832579845095786,0.22954756548678903,9,9,0.0016754043820327847,0.0012454364900220092,0,False
